,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
0,2019-01-01,12℃,7℃,阴~小雨,北风,3级,41,优,1,广州
1,2019-01-02,11℃,9℃,小雨,东北风,3级,36,优,1,广州
2,2019-01-03,13℃,11℃,阴~阵雨,西北风,2级,37,优,1,广州
3,2019-01-04,19℃,15℃,阵雨~阴,西北风,2级,67,良,2,广州
4,2019-01-05,19℃,12℃,阵雨~阴,东北风,2级,57,良,2,广州
5,2019-01-06,17℃,12℃,阴,东北风,2级,28,优,1,广州
6,2019-01-07,19℃,12℃,阴~小雨,西北风,2级,64,良,2,广州
7,2019-01-08,16℃,13℃,阴,东北风,3级,39,优,1,广州
8,2019-01-09,19℃,13℃,阴~小雨,东北风,2级,41,优,1,广州
9,2019-01-10,20℃,16℃,小雨,东北风,2级,78,良,2,广州
10,2019-01-11,21℃,15℃,小雨,西北风,2级,117,轻度污染,3,广州
11,2019-01-12,22℃,15℃,阴,西北风,2级,73,良,2,广州
12,2019-01-13,21℃,16℃,阴,西北风,2级,73,良,2,广州
13,2019-01-14,23℃,17℃,阴,东北风,2级,76,良,2,广州
14,2019-01-15,19℃,11℃,阵雨~小雨,东北风,2级,79,良,2,广州
15,2019-01-16,16℃,9℃,阴~多云,东北风,3级,36,优,1,广州
16,2019-01-17,18℃,9℃,多云,东北风,3级,44,优,1,广州
17,2019-01-18,20℃,10℃,多云~阴,东北风,2级,52,良,2,广州
18,2019-01-19,20℃,15℃,多云~小雨,东南风,1级,91,良,2,广州
19,2019-01-20,21℃,11℃,阴,东北风,2级,98,良,2,广州
20,2019-01-21,18℃,8℃,多云,东北风,3级,46,优,1,广州
21,2019-01-22,19℃,6℃,晴,东北风,3级,90,良,2,广州
22,2019-01-23,19℃,8℃,晴,东北风,2级,71,良,2,广州
23,2019-01-24,22℃,10℃,晴,东南风,2级,88,良,2,广州
24,2019-01-25,22℃,13℃,多云,东北风,2级,116,轻度污染,3,广州
25,2019-01-26,22℃,10℃,晴,东北风,3级,69,良,2,广州
26,2019-01-27,23℃,11℃,晴,东北风,2级,81,良,2,广州
27,2019-01-28,23℃,11℃,多云~晴,东南风,2级,88,良,2,广州
28,2019-01-29,24℃,13℃,阴,东南风,1级,82,良,2,广州
29,2019-01-30,25℃,15℃,多云~阴,东南风,2级,55,良,2,广州
30,2019-01-31,24℃,12℃,多云~阴,东北风,2级,46,优,1,广州
31,2019-02-01,19℃,13℃,阴~小雨,东北风,3级,31,优,1,广州
32,2019-02-02,21℃,16℃,多云,东南风,2级,47,优,1,广州
33,2019-02-03,24℃,17℃,小雨~多云,东南风,1级,47,优,1,广州
34,2019-02-04,26℃,17℃,多云,东北风,2级,51,良,2,广州
35,2019-02-05,26℃,18℃,小雨,东南风,2级,52,良,2,广州
36,2019-02-06,26℃,19℃,小雨,东南风,3级,47,优,1,广州
37,2019-02-07,27℃,20℃,多云,东南风,3级,31,优,1,广州
38,2019-02-08,27℃,19℃,小雨,东南风,3级,32,优,1,广州
