,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
0,2018-01-01,21℃,13℃,多云,无持续风向,微风,107,轻度污染,3,广州
1,2018-01-02,21℃,13℃,多云,无持续风向,微风,123,轻度污染,3,广州
2,2018-01-03,23℃,15℃,多云~阴,无持续风向,微风,130,轻度污染,3,广州
3,2018-01-04,21℃,14℃,阴~小雨,无持续风向,微风,101,轻度污染,3,广州
4,2018-01-05,18℃,13℃,阴~小雨,无持续风向,微风,52,良,2,广州
5,2018-01-06,15℃,13℃,小雨~大雨,无持续风向,微风,32,优,1,广州
6,2018-01-07,15℃,7℃,中到大雨~中雨,无持续风向,微风,33,优,1,广州
7,2018-01-08,12℃,6℃,中到大雨~小雨,无持续风向,4-5级,34,优,1,广州
8,2018-01-09,7℃,5℃,小到中雨~多云,无持续风向,微风,55,良,2,广州
9,2018-01-10,13℃,6℃,多云,无持续风向,微风,45,优,1,广州
10,2018-01-11,14℃,6℃,多云,无持续风向,微风,39,优,1,广州
11,2018-01-12,15℃,7℃,晴,无持续风向,微风,40,优,1,广州
12,2018-01-13,19℃,8℃,多云,无持续风向,微风,52,良,2,广州
13,2018-01-14,19℃,8℃,多云,无持续风向,微风,79,良,2,广州
14,2018-01-15,20℃,10℃,多云,无持续风向,微风,88,良,2,广州
15,2018-01-16,22℃,12℃,多云,无持续风向,微风,120,轻度污染,3,广州
16,2018-01-17,24℃,12℃,多云,无持续风向,微风,149,轻度污染,3,广州
17,2018-01-18,24℃,13℃,多云~小雨,无持续风向,微风,180,中度污染,4,广州
18,2018-01-19,20℃,16℃,阴,无持续风向,微风,156,中度污染,4,广州
19,2018-01-20,23℃,15℃,阴,无持续风向,微风,165,中度污染,4,广州
20,2018-01-21,23℃,16℃,多云,无持续风向,微风,144,轻度污染,3,广州
21,2018-01-22,23℃,15℃,阴,无持续风向,微风,160,中度污染,4,广州
22,2018-01-23,24℃,14℃,多云,无持续风向,微风,104,轻度污染,3,广州
23,2018-01-24,22℃,15℃,多云,无持续风向,微风,107,轻度污染,3,广州
24,2018-01-25,22℃,12℃,多云~阴,无持续风向,微风,74,良,2,广州
25,2018-01-26,18℃,10℃,阴~多云,无持续风向,微风,60,良,2,广州
26,2018-01-27,15℃,8℃,阴,无持续风向,微风,51,良,2,广州
27,2018-01-28,11℃,5℃,小雨,北风,4-5级,44,优,1,广州
28,2018-01-29,8℃,6℃,小雨,无持续风向,微风,26,优,1,广州
29,2018-01-30,8℃,5℃,小雨,无持续风向,微风,44,优,1,广州
30,2018-01-31,7℃,4℃,阵雨~多云,北风,3-4级,28,优,1,广州
31,2018-02-01,13℃,4℃,晴,无持续风向,微风,70,良,2,广州
32,2018-02-02,12℃,5℃,多云,北风,3-4级,65,良,2,广州
33,2018-02-03,13℃,4℃,多云,北风,3-4级,60,良,2,广州
34,2018-02-04,14℃,4℃,多云,北风,4-5级,60,良,2,广州
35,2018-02-05,12℃,3℃,多云,北风,3-4级,43,优,1,广州
36,2018-02-06,14℃,4℃,多云,无持续风向,微风,50,优,1,广州
37,2018-02-07,15℃,8℃,多云,无持续风向,微风,60,良,2,广州
38,2018-02-08,17℃,9℃,多云,无持续风向,微风,66,良,2,广州
39,2018-02-09,19℃,10℃,多云,无持续风向,微风,81,良,2,广州
40,2018-02-10,21℃,9℃,阴,无持续风向,微风,110,轻度污染,3,广州
41,2018-02-11,16℃,9℃,阴~多云,无持续风向,微风,81,良,2,广州
42,2018-02-12,17℃,7℃,多云,无持续风向,微风,66,良,2,广州
