,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
0,2020-01-01,20℃,13℃,多云~晴,东北风,2级,60,良,2,广州
1,2020-01-02,22℃,15℃,阴,东南风,1级,62,良,2,广州
2,2020-01-03,25℃,14℃,多云,东南风,1级,70,良,2,广州
3,2020-01-04,26℃,15℃,阴~多云,东南风,2级,106,轻度污染,3,广州
4,2020-01-05,24℃,17℃,多云,东南风,2级,62,良,2,广州
5,2020-01-06,25℃,19℃,阴,东南风,2级,53,良,2,广州
6,2020-01-07,27℃,15℃,阴~多云,东南风,1级,58,良,2,广州
7,2020-01-08,27℃,16℃,多云~小雨,东北风,2级,58,良,2,广州
8,2020-01-09,23℃,17℃,阴~多云,东南风,2级,63,良,2,广州
9,2020-01-10,25℃,17℃,多云,东南风,2级,57,良,2,广州
10,2020-01-11,23℃,11℃,阴~小雨,西北风,2级,61,良,2,广州
11,2020-01-12,18℃,11℃,阴~多云,西北风,3级,29,优,1,广州
12,2020-01-13,20℃,13℃,多云,东北风,2级,49,优,1,广州
13,2020-01-14,21℃,13℃,多云,东北风,2级,65,良,2,广州
14,2020-01-15,25℃,16℃,多云~小雨,东南风,2级,56,良,2,广州
15,2020-01-16,23℃,11℃,阴~多云,东北风,3级,56,良,2,广州
16,2020-01-17,17℃,12℃,阴~多云,西北风,3级,24,优,1,广州
17,2020-01-18,17℃,12℃,阴~小雨,东北风,2级,37,优,1,广州
18,2020-01-19,13℃,13℃,阴~多云,东北风,2级,43,优,1,广州
19,2020-01-20,18℃,14℃,多云,东北风,2级,40,优,1,广州
20,2020-01-21,22℃,16℃,阴~多云,东南风,2级,56,良,2,广州
21,2020-01-22,25℃,18℃,多云,东南风,2级,45,优,1,广州
22,2020-01-23,28℃,19℃,多云,东南风,2级,45,优,1,广州
23,2020-01-24,25℃,16℃,阴~小雨,东南风,1级,35,优,1,广州
24,2020-01-25,20℃,10℃,阴~大雨,东北风,3级,47,优,1,广州
25,2020-01-26,12℃,8℃,中雨~多云,西北风,3级,12,优,1,广州
26,2020-01-27,14℃,8℃,多云,西北风,4级,16,优,1,广州
27,2020-01-28,15℃,8℃,阴~多云,东北风,3级,20,优,1,广州
28,2020-01-29,16℃,9℃,多云~晴,东北风,3级,34,优,1,广州
29,2020-01-30,19℃,6℃,晴,东北风,3级,42,优,1,广州
30,2020-01-31,20℃,8℃,多云~晴,东北风,2级,40,优,1,广州
31,2020-02-01,20℃,12℃,多云,东北风,2级,56,良,2,广州
32,2020-02-02,18℃,14℃,阴,东南风,2级,48,优,1,广州
33,2020-02-03,16℃,11℃,阴~小雨,东北风,2级,61,良,2,广州
34,2020-02-04,16℃,13℃,阴,东北风,2级,12,优,1,广州
35,2020-02-05,17℃,14℃,阴,东北风,1级,17,优,1,广州
36,2020-02-06,19℃,14℃,阴~小雨,东南风,2级,28,优,1,广州
37,2020-02-07,18℃,11℃,小雨~多云,东北风,2级,31,优,1,广州
38,2020-02-08,18℃,10℃,阴~多云,东北风,3级,16,优,1,广州
39,2020-02-09,17℃,12℃,多云,东北风,3级,24,优,1,广州
40,2020-02-10,16℃,14℃,多云~小雨,东北风,2级,34,优,1,广州
41,2020-02-11,18℃,16℃,阴,东南风,1级,71,良,2,广州
42,2020-02-12,21℃,17℃,阴~中雨,东南风,2级,56,良,2,广州
43,2020-02-13,23℃,17℃,中雨,东南风,2级,37,优,1,广州
44,2020-02-14,22℃,17℃,小雨~中雨,东南风,3级,18,优,1,广州
45,2020-02-15,20℃,7℃,大雨~小雨,东南风,4级,21,优,1,广州
46,2020-02-16,10℃,6℃,阴~多云,西北风,4级,14,优,1,广州
47,2020-02-17,16℃,5℃,多云~晴,东北风,4级,23,优,1,广州
48,2020-02-18,19℃,7℃,晴~多云,东北风,2级,28,优,1,广州
49,2020-02-19,21℃,10℃,多云,东南风,1级,48,优,1,广州
50,2020-02-20,23℃,14℃,多云,东南风,1级,53,良,2,广州
51,2020-02-21,25℃,14℃,多云,东南风,1级,47,优,1,广州
52,2020-02-22,27℃,15℃,多云~晴,东北风,2级,63,良,2,广州
53,2020-02-23,28℃,16℃,多云,东南风,2级,59,良,2,广州
54,2020-02-24,25℃,17℃,阴,东南风,3级,50,优,1,广州
55,2020-02-25,27℃,18℃,多云,东南风,1级,43,优,1,广州
56,2020-02-26,29℃,19℃,阴~多云,东南风,1级,36,优,1,广州
57,2020-02-27,26℃,17℃,阴~多云,东南风,3级,40,优,1,广州
58,2020-02-28,23℃,18℃,阴~多云,东南风,2级,35,优,1,广州
59,2020-02-29,27℃,18℃,阴~多云,东南风,2级,44,优,1,广州
60,2020-03-01,28℃,17℃,阴~多云,东北风,2级,38,优,1,广州
61,2020-03-02,22℃,18℃,阴~多云,东北风,3级,31,优,1,广州
62,2020-03-03,22℃,17℃,阴~中雨,东南风,3级,44,优,1,广州
63,2020-03-04,18℃,13℃,中雨~小雨,东北风,3级,23,优,1,广州
64,2020-03-05,19℃,16℃,阴~阵雨,东北风,2级,16,优,1,广州
65,2020-03-06,21℃,19℃,阴~阵雨,东南风,2级,35,优,1,广州
66,2020-03-07,21℃,20℃,阴~阵雨,东南风,3级,44,优,1,广州
67,2020-03-08,24℃,21℃,阴~小雨,东南风,3级,28,优,1,广州
68,2020-03-09,24℃,17℃,小雨~阵雨,东南风,3级,26,优,1,广州
69,2020-03-10,23℃,15℃,多云,东北风,4级,26,优,1,广州
70,2020-03-11,19℃,17℃,多云~阵雨,东北风,2级,45,优,1,广州
71,2020-03-12,21℃,19℃,阴,东南风,3级,62,良,2,广州
72,2020-03-13,25℃,17℃,阴~小雨,东南风,2级,49,优,1,广州
73,2020-03-14,25℃,14℃,阴~多云,东北风,4级,35,优,1,广州
74,2020-03-15,23℃,17℃,多云,东北风,2级,57,良,2,广州
75,2020-03-16,25℃,19℃,阴~多云,东南风,2级,57,良,2,广州
76,2020-03-17,22℃,18℃,阴~小雨,东南风,2级,54,良,2,广州
77,2020-03-18,21℃,19℃,中雨,东南风,2级,52,良,2,广州
78,2020-03-19,20℃,19℃,大雨~阵雨,东南风,2级,37,优,1,广州
79,2020-03-20,21℃,20℃,小雨~阴,东南风,2级,42,优,1,广州
80,2020-03-21,25℃,21℃,阴~阵雨,东南风,3级,42,优,1,广州
81,2020-03-22,29℃,21℃,雾~多云,东南风,2级,38,优,1,广州
82,2020-03-23,29℃,21℃,阴~多云,东南风,2级,51,良,2,广州
83,2020-03-24,28℃,22℃,阴~雷阵雨,东南风,3级,46,优,1,广州
84,2020-03-25,28℃,21℃,阴~雷阵雨,东南风,3级,43,优,1,广州
85,2020-03-26,27℃,21℃,小雨~雷阵雨,东南风,3级,35,优,1,广州
86,2020-03-27,27℃,16℃,阴~大雨,东南风,3级,32,优,1,广州
87,2020-03-28,21℃,17℃,阴~阵雨,东北风,3级,24,优,1,广州
88,2020-03-29,19℃,18℃,阴~雷阵雨,东南风,3级,48,优,1,广州
89,2020-03-30,14℃,14℃,小雨,东北风,2级,27,优,1,广州
90,2020-03-31,15℃,14℃,小雨~阵雨,东北风,2级,18,优,1,广州
91,2020-04-01,17℃,16℃,中雨~雷阵雨,东北风,2级,23,优,1,广州
92,2020-04-02,19℃,17℃,阵雨~雷阵雨,东北风,2级,44,优,1,广州
93,2020-04-03,23℃,18℃,雷阵雨~中雨,东北风,2级,33,优,1,广州
94,2020-04-04,21℃,17℃,中雨,东北风,3级,22,优,1,广州
95,2020-04-05,18℃,15℃,中雨~大雨,东北风,2级,21,优,1,广州
96,2020-04-06,18℃,16℃,大雨~阵雨,东北风,2级,25,优,1,广州
97,2020-04-07,21℃,15℃,阴~多云,东北风,2级,35,优,1,广州
98,2020-04-08,25℃,18℃,阴~多云,西南风,2级,69,良,2,广州
99,2020-04-09,28℃,17℃,多云,东南风,1级,88,良,2,广州
100,2020-04-10,27℃,18℃,多云,东南风,3级,134,轻度污染,3,广州
101,2020-04-11,24℃,15℃,阴~阵雨,西南风,3级,60,良,2,广州
102,2020-04-12,23℃,12℃,小雨~晴,东北风,4级,29,优,1,广州
103,2020-04-13,24℃,15℃,多云,东北风,3级,44,优,1,广州
104,2020-04-14,22℃,14℃,阴~多云,西南风,1级,81,良,2,广州
105,2020-04-15,27℃,16℃,阴~多云,西南风,2级,112,轻度污染,3,广州
106,2020-04-16,28℃,18℃,阴~多云,东南风,3级,147,轻度污染,3,广州
107,2020-04-17,28℃,20℃,阴~多云,东南风,2级,109,轻度污染,3,广州
108,2020-04-18,27℃,22℃,阴~多云,东南风,3级,61,良,2,广州
109,2020-04-19,30℃,22℃,多云,东南风,2级,53,良,2,广州
110,2020-04-20,31℃,23℃,阴~多云,南风,3级,46,优,1,广州
111,2020-04-21,29℃,20℃,阴~雷阵雨,东南风,3级,47,优,1,广州
112,2020-04-22,20℃,17℃,中雨~小雨,东北风,2级,29,优,1,广州
113,2020-04-23,19℃,14℃,小雨,东北风,3级,19,优,1,广州
114,2020-04-24,18℃,15℃,小雨~阵雨,东北风,3级,28,优,1,广州
115,2020-04-25,24℃,17℃,阴~阵雨,西北风,2级,57,良,2,广州
116,2020-04-26,27℃,18℃,阴~多云,西北风,2级,69,良,2,广州
117,2020-04-27,30℃,18℃,阴~晴,东北风,2级,62,良,2,广州
118,2020-04-28,31℃,21℃,多云,东南风,2级,117,轻度污染,3,广州
119,2020-04-29,30℃,21℃,多云,东南风,2级,157,中度污染,4,广州
120,2020-04-30,31℃,22℃,多云,东南风,2级,117,轻度污染,3,广州
121,2020-05-01,30℃,23℃,多云,南风,3级,93,良,2,广州
122,2020-05-02,31℃,23℃,多云~晴,南风,3级,47,优,1,广州
123,2020-05-03,34℃,24℃,多云~晴,西南风,2级,48,优,1,广州
124,2020-05-04,34℃,26℃,多云~晴,西南风,3级,66,良,2,广州
125,2020-05-05,34℃,26℃,多云~晴,西南风,3级,75,良,2,广州
126,2020-05-06,34℃,27℃,多云,南风,3级,45,优,1,广州
127,2020-05-07,32℃,27℃,多云,南风,3级,29,优,1,广州
128,2020-05-08,32℃,28℃,阴~多云,南风,3级,29,优,1,广州
129,2020-05-09,32℃,27℃,阴~多云,南风,3级,32,优,1,广州
130,2020-05-10,32℃,25℃,大雨~雷阵雨,西南风,2级,38,优,1,广州
131,2020-05-11,32℃,24℃,小雨~中雨,东北风,2级,64,良,2,广州
132,2020-05-12,30℃,25℃,阴~多云,东北风,2级,105,轻度污染,3,广州
133,2020-05-13,31℃,25℃,小雨~多云,东南风,3级,104,轻度污染,3,广州
134,2020-05-14,30℃,25℃,小雨~雷阵雨,东南风,3级,105,轻度污染,3,广州
135,2020-05-15,32℃,26℃,小雨~雷阵雨,东南风,3级,43,优,1,广州
136,2020-05-16,32℃,26℃,阴~雷阵雨,南风,2级,49,优,1,广州
137,2020-05-17,32℃,23℃,阴~大雨,西南风,2级,72,良,2,广州
138,2020-05-18,30℃,23℃,阴~雷阵雨,西南风,2级,77,良,2,广州
139,2020-05-19,32℃,24℃,阴~雷阵雨,东南风,2级,74,良,2,广州
140,2020-05-20,30℃,24℃,小雨~大雨,东南风,3级,115,轻度污染,3,广州
141,2020-05-21,30℃,24℃,小雨~大雨,南风,3级,65,良,2,广州
142,2020-05-22,28℃,24℃,中雨~阵雨,西北风,3级,66,良,2,广州
143,2020-05-23,29℃,25℃,小雨~多云,东北风,2级,46,优,1,广州
144,2020-05-24,29℃,24℃,阴~阵雨,东南风,2级,74,良,2,广州
145,2020-05-25,29℃,24℃,小雨~大雨,东南风,3级,74,良,2,广州
146,2020-05-26,33℃,26℃,小雨~多云,西北风,2级,48,优,1,广州
147,2020-05-27,27℃,26℃,小雨~雷阵雨,东北风,2级,51,良,2,广州
148,2020-05-28,30℃,25℃,阴~雷阵雨,东北风,2级,61,良,2,广州
149,2020-05-29,31℃,26℃,中雨,东南风,3级,83,良,2,广州
150,2020-05-30,30℃,26℃,中雨~雷阵雨,南风,3级,41,优,1,广州
151,2020-05-31,31℃,25℃,大雨~中雨,南风,2级,39,优,1,广州
152,2020-06-01,31℃,25℃,中雨~雷阵雨,南风,2级,35,优,1,广州
153,2020-06-02,28℃,25℃,小雨~雷阵雨,南风,3级,28,优,1,广州
154,2020-06-03,31℃,26℃,大雨~雷阵雨,西南风,3级,28,优,1,广州
155,2020-06-04,32℃,25℃,中雨~雷阵雨,西南风,3级,27,优,1,广州
156,2020-06-05,33℃,24℃,阴~暴雨,西南风,3级,24,优,1,广州
157,2020-06-06,28℃,25℃,中雨~暴雨,西南风,3级,27,优,1,广州
158,2020-06-07,26℃,25℃,中雨~暴雨,东南风,3级,29,优,1,广州
159,2020-06-08,27℃,25℃,中雨~大雨,东南风,3级,28,优,1,广州
160,2020-06-09,29℃,26℃,中雨~雷阵雨,南风,3级,27,优,1,广州
161,2020-06-10,33℃,25℃,中雨~雷阵雨,西南风,2级,37,优,1,广州
162,2020-06-11,34℃,26℃,阴~多云,南风,3级,32,优,1,广州
163,2020-06-12,33℃,26℃,多云,东南风,3级,32,优,1,广州
164,2020-06-13,32℃,25℃,阴~雷阵雨,东风,3级,26,优,1,广州
165,2020-06-14,30℃,25℃,小雨~中雨,东南风,4级,17,优,1,广州
166,2020-06-15,32℃,26℃,中雨~雷阵雨,南风,3级,24,优,1,广州
167,2020-06-16,33℃,26℃,小雨~雷阵雨,南风,3级,18,优,1,广州
168,2020-06-17,32℃,26℃,中雨~多云,西南风,3级,23,优,1,广州
169,2020-06-18,32℃,26℃,多云,西南风,3级,25,优,1,广州
170,2020-06-19,34℃,27℃,阴~多云,西南风,3级,26,优,1,广州
171,2020-06-20,34℃,27℃,多云,西南风,3级,27,优,1,广州
172,2020-06-21,34℃,28℃,阴~多云,西南风,3级,22,优,1,广州
173,2020-06-22,34℃,28℃,阴~多云,西南风,3级,29,优,1,广州
174,2020-06-23,34℃,27℃,多云,西南风,3级,29,优,1,广州
175,2020-06-24,34℃,27℃,阴~雷阵雨,西南风,3级,32,优,1,广州
176,2020-06-25,32℃,26℃,中雨~雷阵雨,西南风,3级,24,优,1,广州
177,2020-06-26,34℃,26℃,阴~雷阵雨,南风,4级,24,优,1,广州
178,2020-06-27,34℃,27℃,多云,南风,3级,23,优,1,广州
179,2020-06-28,35℃,28℃,阴~多云,南风,3级,25,优,1,广州
180,2020-06-29,34℃,28℃,阴~多云,南风,3级,31,优,1,广州
181,2020-06-30,35℃,28℃,阴~雷阵雨,东南风,3级,33,优,1,广州
182,2020-07-01,34℃,26℃,阴~雷阵雨,东南风,3级,23,优,1,广州
183,2020-07-02,33℃,26℃,中雨,东南风,3级,25,优,1,广州
184,2020-07-03,31℃,26℃,中雨~雷阵雨,东南风,3级,23,优,1,广州
185,2020-07-04,29℃,26℃,小雨~雷阵雨,东南风,3级,26,优,1,广州
186,2020-07-05,34℃,26℃,阴~多云,南风,3级,31,优,1,广州
187,2020-07-06,34℃,27℃,阴~晴,西南风,3级,26,优,1,广州
188,2020-07-07,34℃,28℃,阴~多云,西南风,3级,27,优,1,广州
