,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
83,2021-03-25,28℃,17℃,多云,东南风,2级,97,良,2,广州
84,2021-03-26,27℃,19℃,多云,东南风,3级,59,良,2,广州
85,2021-03-27,28℃,21℃,多云,东南风,微风,53,良,2,广州
86,2021-03-28,30℃,22℃,阴~多云,南风,2级,58,良,2,广州
87,2021-03-29,29℃,23℃,阴~多云,南风,3级,42,优,1,广州
88,2021-03-30,31℃,25℃,阴~多云,南风,3级,38,优,1,广州
89,2021-03-31,28℃,24℃,阴~多云,东南风,3级,34,优,1,广州
90,2021-04-01,31℃,24℃,多云,东南风,3级,32,优,1,广州
91,2021-04-02,31℃,23℃,多云,东南风,3级,35,优,1,广州
92,2021-04-03,32℃,23℃,多云,东南风,2级,42,优,1,广州
93,2021-04-04,24℃,21℃,阴,北风,3级,52,良,2,广州
94,2021-04-05,24℃,19℃,阴~多云,东北风,2级,46,优,1,广州
95,2021-04-06,30℃,21℃,阴~多云,东南风,2级,75,良,2,广州
96,2021-04-07,27℃,20℃,阴~中雨,东南风,3级,56,良,2,广州
97,2021-04-08,22℃,17℃,小雨,东风,3级,31,优,1,广州
98,2021-04-09,22℃,18℃,阴,东北风,2级,30,优,1,广州
99,2021-04-10,26℃,19℃,阴~多云,东南风,2级,57,良,2,广州
100,2021-04-11,29℃,19℃,阴~多云,东南风,微风,51,良,2,广州
101,2021-04-12,30℃,20℃,多云,南风,3级,47,优,1,广州
102,2021-04-13,31℃,21℃,阴~多云,东南风,微风,57,良,2,广州
103,2021-04-14,31℃,22℃,阴~多云,东南风,3级,39,优,1,广州
104,2021-04-15,26℃,21℃,阴~大雨,东南风,3级,36,优,1,广州
105,2021-04-16,23℃,20℃,小雨,东南风,2级,42,优,1,广州
106,2021-04-17,25℃,20℃,阴~阵雨,东北风,2级,30,优,1,广州
107,2021-04-18,27℃,19℃,阴~阵雨,东南风,2级,63,良,2,广州
108,2021-04-19,24℃,19℃,阴~阵雨,东南风,微风,88,良,2,广州
109,2021-04-20,25℃,20℃,阴~多云,东南风,2级,75,良,2,广州
110,2021-04-21,31℃,21℃,晴~多云,东南风,2级,73,良,2,广州
111,2021-04-22,31℃,21℃,多云~晴,西南风,2级,72,良,2,广州
112,2021-04-23,34℃,21℃,阴~多云,南风,2级,80,良,2,广州
113,2021-04-24,27℃,23℃,阴,东南风,微风,45,优,1,广州
114,2021-04-25,27℃,22℃,小雨,东南风,微风,38,优,1,广州
115,2021-04-26,24℃,21℃,小雨~中雨,东北风,2级,33,优,1,广州
116,2021-04-27,22℃,20℃,小雨~大雨,东风,2级,41,优,1,广州
117,2021-04-28,22℃,19℃,中雨~阵雨,北风,2级,23,优,1,广州
